Year,DOY,Season,Site,ID,C,N,CN,Analysis Date
2020,275,fall,CNR,2,50.52,0.45,112.2666667,1_28_2021
2020,275,fall,CNR,3,49.76,1.13,44.03539823,1_28_2021
2020,275,fall,CNR,4,49.05,1.32,37.15909091,1_28_2021
2020,275,fall,CNR,13,49.23,1.22,40.35245902,1_28_2021
2020,275,fall,CNR,17,50.65,0.39,129.8717949,1_28_2021
2020,275,fall,CNR,18,52.99,1.38,38.39855072,1_28_2021
2020,275,fall,CNR,19,44.33,1.08,41.0462963,1_28_2021
2020,275,fall,DOT,1,50.55,1.72,29.38953488,1_28_2021
2020,275,fall,DOT,2,50.76,1.29,39.34883721,1_28_2021
2020,275,fall,DOT,3,50.69,1.37,37,1_28_2021
2020,275,fall,DOT,5,52.94,5.14,10.29961089,1_28_2021
2020,275,fall,DOT,6,50.68,1.34,37.82089552,1_28_2021
2020,275,fall,DOT,6,54.34,12.2,4.454098361,1_28_2021
2020,275,fall,DOT,7,50.46,2.77,18.2166065,1_28_2021
2020,275,fall,DOT,8,50.43,1.31,38.49618321,1_28_2021
2020,275,fall,DOT,9,49.38,1.58,31.25316456,1_28_2021
2020,275,fall,DOT,10,50.87,1.28,39.7421875,1_28_2021
2020,275,fall,DOT,11,49.76,1.42,35.04225352,1_28_2021
2020,275,fall,DOT,12,50.48,1.35,37.39259259,1_28_2021
2020,275,fall,DOT,13,50.37,1.13,44.57522124,1_28_2021
2020,275,fall,DOT,14,50.71,1.3,39.00769231,1_28_2021
2020,275,fall,DOT,15,49.56,1.33,37.26315789,1_28_2021
2020,275,fall,DOT,16,52.36,2.86,18.30769231,1_28_2021
2020,275,fall,DOT,17,51.61,6.33,8.153238547,1_28_2021
2020,275,fall,DOT,18,49.33,1.14,43.27192982,1_28_2021
2020,275,fall,DOT,19,49.94,1.15,43.42608696,1_28_2021
2020,275,fall,DOT,20,49.15,1.13,43.49557522,1_28_2021
2020,275,fall,DOT,21,51.21,1.17,43.76923077,1_28_2021
2020,275,fall,DOT,22,50.62,1.36,37.22058824,1_28_2021
2020,275,fall,DOT,23,50.45,1.39,36.29496403,1_28_2021
2020,275,fall,DOT,24,50.08,1.63,30.72392638,1_28_2021
2020,275,fall,DOT,25,49.68,1.22,40.72131148,1_28_2021
2020,275,fall,DOT,26,50.86,1.33,38.2406015,1_28_2021
2020,275,fall,DOT,27,52.35,2.96,17.68581081,1_28_2021
2020,275,fall,DOT,28,53.64,8.5,6.310588235,1_28_2021
2020,275,fall,DOT,29,50.32,3.94,12.7715736,1_28_2021
2020,275,fall,DOT,30,50.58,1.17,43.23076923,1_28_2021
2020,275,fall,WW,1,50.96,1.35,37.74814815,1_28_2021
2020,275,fall,WW,2,49.47,1.38,35.84782609,1_28_2021
2020,275,fall,WW,3,50.38,1.47,34.27210884,1_28_2021
2020,275,fall,WW,4,51.34,1.2,42.78333333,1_28_2021
2020,275,fall,WW,5,50.33,1.17,43.01709402,1_28_2021
2020,275,fall,WW,6,50.45,1.05,48.04761905,1_28_2021
2020,275,fall,WW,7,50.09,0.96,52.17708333,1_28_2021
2020,275,fall,WW,8,50.92,1.24,41.06451613,1_28_2021
2020,275,fall,WW,9,49.37,1.48,33.35810811,1_28_2021
2020,275,fall,WW,10,50.3,1.09,46.14678899,1_28_2021
2020,275,fall,WW,11,50.8,1.14,44.56140351,1_28_2021
2020,275,fall,WW,12,49.86,1.09,45.74311927,1_28_2021
2020,275,fall,WW,13,47.34,1.2,39.45,1_28_2021
2020,275,fall,WW,14,51.23,1.33,38.51879699,1_28_2021
2020,275,fall,WW,15,49.85,1.16,42.97413793,1_28_2021
2020,275,fall,WW,16,50.19,1.17,42.8974359,1_28_2021
2020,275,fall,WW,17,50.03,1.36,36.78676471,1_28_2021
2020,275,fall,WW,18,50.41,1.12,45.00892857,1_28_2021
2020,275,fall,WW,19,50.37,0.74,68.06756757,1_28_2021
2020,275,fall,WW,20,50.96,0.97,52.53608247,1_28_2021
2020,275,fall,WW,21,50.78,1.08,47.01851852,1_28_2021
2020,275,fall,WW,22,52.23,1,52.23,1_28_2021
2020,275,fall,WW,23,50.65,1.09,46.46788991,1_28_2021
2020,275,fall,WW,24,51.32,0.92,55.7826087,1_28_2021
2020,275,fall,WW,25,50.05,0.9,55.61111111,1_28_2021
2020,275,fall,WW,26,50.75,0.88,57.67045455,1_28_2021
2020,275,fall,WW,27,50.09,1.73,28.95375723,1_28_2021
2020,275,fall,WW,28,50.33,1.27,39.62992126,1_28_2021
2020,275,fall,WW,29,49.46,1.43,34.58741259,1_28_2021
2020,275,fall,WW,30,49.07,1.11,44.20720721,1_28_2021
2020,306,fall,CNR,1,50.48,1.21,41.71900826,3_12_2021
2020,306,fall,CNR,2,50.36,0.53,95.01886792,3_12_2021
2020,306,fall,CNR,3,50.27,1.14,44.09649123,3_12_2021
2020,306,fall,CNR,4,50.69,1.11,45.66666667,3_12_2021
2020,306,fall,CNR,5,51.69,1.19,43.43697479,3_12_2021
2020,306,fall,CNR,6,50.92,1.19,42.78991597,3_12_2021
2020,306,fall,CNR,7,51.79,1.24,41.76612903,3_12_2021
2020,306,fall,CNR,8,51.1,1.22,41.8852459,3_12_2021
2020,306,fall,CNR,9,52.47,1.25,41.976,3_12_2021
2020,306,fall,CNR,10,51.14,1.29,39.64341085,3_12_2021
2020,306,fall,CNR,11,51.46,1.21,42.52892562,3_12_2021
2020,306,fall,CNR,12,51.96,1.07,48.56074766,3_12_2021
2020,306,fall,CNR,13,49.27,1.09,45.20183486,3_12_2021
2020,306,fall,CNR,14,51.96,1.26,41.23809524,3_12_2021
2020,306,fall,CNR,15,51.65,1.34,38.54477612,3_12_2021
2020,306,fall,CNR,16,52.34,1.25,41.872,3_12_2021
2020,306,fall,CNR,17,51.27,0.54,94.94444444,3_12_2021
2020,306,fall,CNR,18,49.57,1.29,38.42635659,3_12_2021
2020,306,fall,CNR,19,50.62,1.25,40.496,3_12_2021
2020,306,fall,CNR,14?,51.44,1.35,38.1037037,3_12_2021
2020,306,fall,DOT,20,50.81,1.28,39.6953125,3_12_2021
2020,306,fall,DOT,21,51.58,1.31,39.3740458,3_12_2021
2020,306,fall,DOT,22,51.39,1.34,38.35074627,3_12_2021
2020,306,fall,DOT,23,53.55,1.5,35.7,3_12_2021
2020,306,fall,DOT,24,50.63,1.44,35.15972222,3_12_2021
2020,306,fall,DOT,25,51.18,1.53,33.45098039,3_12_2021
2020,306,fall,DOT,26,51.11,1.56,32.76282051,3_12_2021
2020,306,fall,DOT,27,50.81,1.54,32.99350649,3_12_2021
2020,306,fall,DOT,28,51.1,1.58,32.34177215,3_12_2021
2020,306,fall,DOT,29,50.14,1.39,36.07194245,3_12_2021
2020,306,fall,DOT,30,50.53,1.22,41.41803279,3_12_2021
